--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0319, Std=2.6148, Min=-9.8692, Max=7.5870, RMS=2.6150
  Col 1: Mean=0.0036, Std=1.6639, Min=-6.1889, Max=5.7451, RMS=1.6639
  Col 2: Mean=-0.0545, Std=3.2374, Min=-8.9372, Max=10.4007, RMS=3.2379
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0006, Std=0.9119, Min=-2.0930, Max=2.5952, RMS=0.9119
  Col 13: Mean=0.0070, Std=1.0742, Min=-3.9364, Max=3.2544, RMS=1.0743
  Col 14: Mean=-0.0012, Std=2.9400, Min=-5.2006, Max=8.5065, RMS=2.9400
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0057, Std=0.6832, Min=-1.4382, Max=2.5061, RMS=0.6832
  Col 19: Mean=0.0134, Std=0.7260, Min=-1.8209, Max=2.3206, RMS=0.7261
  Col 20: Mean=-0.0098, Std=2.5931, Min=-6.2605, Max=9.1674, RMS=2.5931
  Col 21: Mean=0.0054, Std=1.0438, Min=-3.4872, Max=3.1882, RMS=1.0438
  Col 22: Mean=0.0082, Std=1.0706, Min=-3.0018, Max=2.8111, RMS=1.0706
  Col 23: Mean=-0.0008, Std=2.6726, Min=-4.6972, Max=9.2520, RMS=2.6726
  Col 24: Mean=0.0012, Std=1.6116, Min=-4.4220, Max=5.4296, RMS=1.6116
  Col 25: Mean=0.0107, Std=0.9332, Min=-3.2870, Max=2.4383, RMS=0.9333
  Col 26: Mean=-0.0030, Std=2.7470, Min=-5.0271, Max=9.0313, RMS=2.7470
  Col 27: Mean=-0.0102, Std=1.8833, Min=-4.7817, Max=6.5140, RMS=1.8834
  Col 28: Mean=0.0153, Std=1.0368, Min=-3.8257, Max=2.8196, RMS=1.0369
  Col 29: Mean=-0.0043, Std=2.5209, Min=-4.6514, Max=9.1340, RMS=2.5209
  Col 30: Mean=-0.0096, Std=2.3999, Min=-6.0127, Max=9.8113, RMS=2.3999
  Col 31: Mean=0.0183, Std=1.3431, Min=-5.2351, Max=3.8277, RMS=1.3432
  Col 32: Mean=-0.0071, Std=2.4220, Min=-4.7689, Max=8.4883, RMS=2.4220
  Col 33: Mean=0.0022, Std=1.1467, Min=-3.1870, Max=4.0235, RMS=1.1467
  Col 34: Mean=0.0047, Std=0.9814, Min=-2.7381, Max=2.9000, RMS=0.9814
  Col 35: Mean=-0.0000, Std=2.6648, Min=-4.4708, Max=9.6378, RMS=2.6648
  Col 36: Mean=0.0007, Std=2.0587, Min=-4.0743, Max=7.7331, RMS=2.0587
  Col 37: Mean=0.0101, Std=1.0729, Min=-3.7165, Max=3.1070, RMS=1.0730
  Col 38: Mean=-0.0048, Std=2.5976, Min=-4.8156, Max=8.0975, RMS=2.5977
  Col 39: Mean=-0.0058, Std=3.7726, Min=-9.3313, Max=10.3072, RMS=3.7726
  Col 40: Mean=0.0107, Std=0.8602, Min=-2.6802, Max=2.0520, RMS=0.8603
  Col 41: Mean=-0.0131, Std=1.9415, Min=-4.4942, Max=7.3904, RMS=1.9415
  Col 42: Mean=0.0185, Std=5.1558, Min=-13.9445, Max=14.7580, RMS=5.1558
  Col 43: Mean=0.0003, Std=1.2456, Min=-3.6419, Max=3.0036, RMS=1.2456
  Col 44: Mean=-0.1134, Std=2.1508, Min=-8.8557, Max=7.3086, RMS=2.1538
  Col 45: Mean=-0.0270, Std=3.0539, Min=-11.2437, Max=17.5298, RMS=3.0541
  Col 46: Mean=0.0058, Std=2.7810, Min=-12.5018, Max=14.7320, RMS=2.7810
  Col 47: Mean=0.0062, Std=4.6276, Min=-10.9908, Max=26.6092, RMS=4.6276
  Col 48: Mean=-0.1055, Std=5.1128, Min=-18.4874, Max=19.6198, RMS=5.1139
  Col 49: Mean=0.0385, Std=3.1640, Min=-12.0823, Max=13.1758, RMS=3.1643
  Col 50: Mean=-0.0835, Std=5.6837, Min=-12.7824, Max=37.9457, RMS=5.6843
  Col 51: Mean=-0.3131, Std=7.9275, Min=-29.2724, Max=78.3647, RMS=7.9337
  Col 52: Mean=0.1399, Std=3.6687, Min=-18.9364, Max=29.6190, RMS=3.6714
  Col 53: Mean=-0.2129, Std=8.9088, Min=-45.2222, Max=43.5791, RMS=8.9114
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0235, Std=3.9813, Min=-12.8626, Max=23.7255, RMS=3.9813
  Col 58: Mean=0.0180, Std=2.1737, Min=-7.4083, Max=10.7635, RMS=2.1738
  Col 59: Mean=0.0015, Std=4.6965, Min=-10.0939, Max=27.7327, RMS=4.6965
  Col 60: Mean=-0.1221, Std=5.2576, Min=-21.9612, Max=11.6667, RMS=5.2590
  Col 61: Mean=0.0158, Std=2.6552, Min=-10.7349, Max=10.7919, RMS=2.6553
  Col 62: Mean=-0.0828, Std=6.0182, Min=-15.3173, Max=42.8720, RMS=6.0188
  Col 63: Mean=-0.1540, Std=8.4129, Min=-38.0904, Max=54.8156, RMS=8.4143
  Col 64: Mean=0.1139, Std=5.2148, Min=-48.2987, Max=24.9949, RMS=5.2161
  Col 65: Mean=-0.0618, Std=8.8174, Min=-35.4560, Max=65.0911, RMS=8.8176
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=2.2323, Std=17.4590, Min=-179.7539, Max=34.2745, RMS=17.6012
  Col 1: Mean=-74.8649, Std=7.7192, Min=-84.9972, Max=-6.0923, RMS=75.2618
  Col 2: Mean=118.2778, Std=116.3786, Min=-179.8267, Max=179.6837, RMS=165.9326
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-28.7417, Std=8.0987, Min=-44.3667, Max=-13.5425, RMS=29.8609
  Col 13: Mean=-72.1742, Std=3.9705, Min=-78.6464, Max=-63.3096, RMS=72.2833
