--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/walk/Run_5
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0040, Std=2.1321, Min=-6.1479, Max=7.0264, RMS=2.1321
  Col 1: Mean=0.0027, Std=2.0155, Min=-5.3118, Max=5.8868, RMS=2.0155
  Col 2: Mean=-0.0054, Std=1.9233, Min=-4.1919, Max=7.9648, RMS=1.9233
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0086, Std=1.1865, Min=-2.2382, Max=4.1018, RMS=1.1865
  Col 13: Mean=0.0070, Std=1.2000, Min=-2.6359, Max=3.2783, RMS=1.2000
  Col 14: Mean=-0.0022, Std=2.6288, Min=-5.7308, Max=6.5945, RMS=2.6288
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0027, Std=1.0163, Min=-3.3822, Max=2.7947, RMS=1.0163
  Col 19: Mean=-0.0052, Std=1.1930, Min=-4.0570, Max=3.7902, RMS=1.1930
  Col 20: Mean=-0.0034, Std=2.0737, Min=-3.4620, Max=7.5009, RMS=2.0737
  Col 21: Mean=0.0065, Std=1.3500, Min=-3.5603, Max=4.1976, RMS=1.3500
  Col 22: Mean=0.0060, Std=1.1650, Min=-2.6350, Max=3.7528, RMS=1.1650
  Col 23: Mean=-0.0036, Std=2.0036, Min=-3.7048, Max=8.5540, RMS=2.0037
  Col 24: Mean=0.0069, Std=1.5652, Min=-4.4391, Max=4.8467, RMS=1.5652
  Col 25: Mean=0.0196, Std=1.2631, Min=-3.4373, Max=3.5528, RMS=1.2632
  Col 26: Mean=-0.0099, Std=2.5438, Min=-5.3068, Max=6.8136, RMS=2.5438
  Col 27: Mean=-0.0038, Std=2.8919, Min=-6.3916, Max=8.0894, RMS=2.8920
  Col 28: Mean=-0.0006, Std=1.7698, Min=-4.9650, Max=4.0665, RMS=1.7698
  Col 29: Mean=-0.0150, Std=2.0589, Min=-4.1543, Max=6.8169, RMS=2.0590
  Col 30: Mean=-0.0229, Std=3.9552, Min=-9.7264, Max=11.1733, RMS=3.9553
  Col 31: Mean=-0.0194, Std=2.3008, Min=-4.5161, Max=6.6176, RMS=2.3009
  Col 32: Mean=-0.0349, Std=2.4517, Min=-6.4746, Max=7.1188, RMS=2.4520
  Col 33: Mean=0.0103, Std=1.1139, Min=-2.3031, Max=3.7263, RMS=1.1139
  Col 34: Mean=0.0057, Std=1.3878, Min=-2.9171, Max=4.3846, RMS=1.3878
  Col 35: Mean=-0.0019, Std=2.0132, Min=-3.9075, Max=9.2106, RMS=2.0132
  Col 36: Mean=0.0273, Std=1.6620, Min=-5.2479, Max=5.6158, RMS=1.6622
  Col 37: Mean=-0.0003, Std=1.8255, Min=-4.9330, Max=4.0063, RMS=1.8255
  Col 38: Mean=-0.0160, Std=2.0078, Min=-4.9124, Max=6.7247, RMS=2.0079
  Col 39: Mean=0.0228, Std=3.8643, Min=-8.6491, Max=8.0549, RMS=3.8643
  Col 40: Mean=0.0030, Std=2.6417, Min=-6.7030, Max=5.3619, RMS=2.6417
  Col 41: Mean=-0.0353, Std=1.5912, Min=-3.5924, Max=6.3942, RMS=1.5916
  Col 42: Mean=0.0054, Std=5.3710, Min=-14.1782, Max=10.7683, RMS=5.3710
  Col 43: Mean=0.0006, Std=3.5440, Min=-9.6426, Max=6.7301, RMS=3.5440
  Col 44: Mean=-0.0682, Std=2.5605, Min=-9.0807, Max=8.3870, RMS=2.5614
  Col 45: Mean=0.0076, Std=6.6071, Min=-20.3903, Max=21.0888, RMS=6.6071
  Col 46: Mean=0.0166, Std=3.0752, Min=-9.1211, Max=19.1750, RMS=3.0753
  Col 47: Mean=-0.0033, Std=4.8806, Min=-17.5523, Max=19.8641, RMS=4.8806
  Col 48: Mean=-0.0661, Std=5.8385, Min=-21.4503, Max=12.8585, RMS=5.8389
  Col 49: Mean=0.0312, Std=4.8390, Min=-16.1467, Max=20.2994, RMS=4.8391
  Col 50: Mean=-0.1349, Std=3.8217, Min=-14.6929, Max=16.1762, RMS=3.8241
  Col 51: Mean=-0.0984, Std=12.1302, Min=-36.0210, Max=39.9227, RMS=12.1306
