--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/walk/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0321, Std=1.2869, Min=-3.7650, Max=4.3751, RMS=1.2873
  Col 1: Mean=0.0041, Std=0.9412, Min=-3.4231, Max=3.2765, RMS=0.9412
  Col 2: Mean=-0.5369, Std=2.6687, Min=-9.0721, Max=4.3112, RMS=2.7222
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0018, Std=0.8771, Min=-1.7395, Max=2.4512, RMS=0.8771
  Col 13: Mean=0.0006, Std=0.7199, Min=-1.7088, Max=1.6683, RMS=0.7199
  Col 14: Mean=0.0007, Std=1.8039, Min=-3.3957, Max=4.7018, RMS=1.8039
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0037, Std=0.7711, Min=-1.5161, Max=1.8424, RMS=0.7711
  Col 19: Mean=0.0008, Std=0.6927, Min=-1.8106, Max=1.5222, RMS=0.6927
  Col 20: Mean=-0.0058, Std=1.7135, Min=-3.4718, Max=4.2425, RMS=1.7135
  Col 21: Mean=0.0007, Std=0.9028, Min=-1.8899, Max=2.6833, RMS=0.9028
  Col 22: Mean=0.0021, Std=0.8022, Min=-2.7658, Max=1.9490, RMS=0.8022
  Col 23: Mean=0.0012, Std=1.6732, Min=-3.1393, Max=4.6302, RMS=1.6732
  Col 24: Mean=0.0025, Std=1.0184, Min=-2.5564, Max=2.8734, RMS=1.0185
  Col 25: Mean=0.0032, Std=0.7930, Min=-1.9772, Max=1.4472, RMS=0.7930
  Col 26: Mean=-0.0024, Std=1.7422, Min=-3.1937, Max=4.4754, RMS=1.7422
  Col 27: Mean=-0.0062, Std=1.3913, Min=-3.0444, Max=3.2780, RMS=1.3913
  Col 28: Mean=0.0001, Std=0.6967, Min=-1.5250, Max=1.4619, RMS=0.6967
  Col 29: Mean=-0.0028, Std=1.6104, Min=-3.2010, Max=3.6125, RMS=1.6104
  Col 30: Mean=-0.0079, Std=1.7647, Min=-3.9665, Max=4.7549, RMS=1.7647
  Col 31: Mean=0.0013, Std=0.7911, Min=-1.6597, Max=1.7833, RMS=0.7911
  Col 32: Mean=-0.0013, Std=1.5910, Min=-3.1097, Max=3.8480, RMS=1.5910
  Col 33: Mean=0.0014, Std=0.9149, Min=-1.7457, Max=2.5714, RMS=0.9149
  Col 34: Mean=0.0013, Std=0.7807, Min=-2.4294, Max=1.6420, RMS=0.7807
  Col 35: Mean=0.0008, Std=1.7030, Min=-3.3563, Max=4.9107, RMS=1.7030
  Col 36: Mean=0.0035, Std=1.1305, Min=-2.6598, Max=3.3237, RMS=1.1305
  Col 37: Mean=-0.0010, Std=0.8303, Min=-1.7296, Max=1.7305, RMS=0.8303
  Col 38: Mean=-0.0030, Std=1.8081, Min=-3.4047, Max=4.6059, RMS=1.8081
  Col 39: Mean=-0.0043, Std=1.5047, Min=-2.8203, Max=3.5715, RMS=1.5047
  Col 40: Mean=0.0027, Std=0.7970, Min=-1.5151, Max=1.4461, RMS=0.7970
  Col 41: Mean=-0.0034, Std=1.7563, Min=-3.1607, Max=5.1607, RMS=1.7563
  Col 42: Mean=-0.0060, Std=2.0505, Min=-4.8318, Max=4.8091, RMS=2.0505
  Col 43: Mean=0.0032, Std=0.9416, Min=-2.1364, Max=1.9492, RMS=0.9416
  Col 44: Mean=-0.0067, Std=1.8212, Min=-3.3925, Max=5.1477, RMS=1.8213
  Col 45: Mean=-0.0029, Std=4.0032, Min=-10.8465, Max=14.4967, RMS=4.0032
  Col 46: Mean=-0.0020, Std=1.8441, Min=-8.8608, Max=15.8790, RMS=1.8441
  Col 47: Mean=-0.0100, Std=3.1594, Min=-12.3920, Max=12.3913, RMS=3.1594
  Col 48: Mean=-0.0378, Std=5.5532, Min=-18.4798, Max=15.4136, RMS=5.5533
  Col 49: Mean=0.0328, Std=1.7071, Min=-5.0161, Max=10.5479, RMS=1.7074
  Col 50: Mean=-0.1165, Std=2.5646, Min=-6.5237, Max=10.3756, RMS=2.5672
  Col 51: Mean=-0.0541, Std=9.8260, Min=-28.2208, Max=37.8885, RMS=9.8262
  Col 52: Mean=0.0045, Std=2.6319, Min=-16.3217, Max=10.2104, RMS=2.6319
  Col 53: Mean=-0.1897, Std=5.7830, Min=-23.9366, Max=15.4470, RMS=5.7862
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0057, Std=4.7756, Min=-12.7436, Max=15.7999, RMS=4.7756
  Col 58: Mean=-0.0003, Std=1.7783, Min=-11.6955, Max=5.5074, RMS=1.7783
  Col 59: Mean=-0.0095, Std=3.0629, Min=-11.2264, Max=10.5668, RMS=3.0629
  Col 60: Mean=-0.0249, Std=5.5029, Min=-18.2224, Max=15.4601, RMS=5.5030
  Col 61: Mean=-0.0348, Std=2.5239, Min=-19.1040, Max=10.1993, RMS=2.5241
  Col 62: Mean=-0.1029, Std=2.6639, Min=-9.5606, Max=7.7137, RMS=2.6659
  Col 63: Mean=-0.0596, Std=10.0230, Min=-31.1492, Max=34.4254, RMS=10.0232
  Col 64: Mean=0.0128, Std=2.4331, Min=-16.0641, Max=8.0710, RMS=2.4331
  Col 65: Mean=-0.1803, Std=5.7214, Min=-22.3587, Max=15.9726, RMS=5.7242
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=50.0949, Std=35.4295, Min=8.7226, Max=179.7978, RMS=61.3576
  Col 1: Mean=-79.2099, Std=18.9716, Min=-87.1157, Max=-6.3294, RMS=81.4501
  Col 2: Mean=145.3512, Std=15.4261, Min=101.4540, Max=179.8122, RMS=146.1675
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=19.1070, Std=3.4561, Min=11.3602, Max=31.4276, RMS=19.4171
  Col 13: Mean=-74.8352, Std=1.8129, Min=-82.1614, Max=-69.9043, RMS=74.8572
  Col 14: Mean=-17.3291, Std=3.8665, Min=-30.7498, Max=-9.2834, RMS=17.7552
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=71.1112, Std=2.7468, Min=57.6253, Max=76.1377, RMS=71.1642
  Col 19: Mean=-2.7334, Std=0.7557, Min=-4.5455, Max=-1.0549, RMS=2.8359
  Col 20: Mean=-101.2398, Std=1.9254, Min=-105.9438, Max=-96.4470, RMS=101.2581
  Col 21: Mean=60.6331, Std=1.7687, Min=53.9438, Max=66.3146, RMS=60.6589
  Col 22: Mean=1.1785, Std=1.1756, Min=-1.5150, Max=5.1239, RMS=1.6646
  Col 23: Mean=96.3779, Std=2.2013, Min=91.8979, Max=100.5192, RMS=96.4031
  Col 24: Mean=36.2068, Std=11.8094, Min=15.1295, Max=68.2397, RMS=38.0840
  Col 25: Mean=-73.8330, Std=1.4238, Min=-79.1274, Max=-70.3473, RMS=73.8467
  Col 26: Mean=-116.9258, Std=14.4661, Min=-150.5282, Max=-89.3898, RMS=117.8173
  Col 27: Mean=-28.0921, Std=6.7217, Min=-40.6356, Max=-0.3827, RMS=28.8850
  Col 28: Mean=-62.8376, Std=5.8009, Min=-75.7935, Max=-49.0354, RMS=63.1048
  Col 29: Mean=-34.2259, Std=8.7474, Min=-66.4148, Max=-16.2586, RMS=35.3260
  Col 30: Mean=-71.5345, Std=2.8020, Min=-77.6576, Max=-65.0222, RMS=71.5894
  Col 31: Mean=-2.5138, Std=6.0080, Min=-16.6461, Max=12.1108, RMS=6.5127
  Col 32: Mean=10.6125, Std=3.6258, Min=3.9250, Max=20.1255, RMS=11.2147
  Col 33: Mean=59.8193, Std=1.9695, Min=53.3564, Max=66.0278, RMS=59.8517
  Col 34: Mean=2.3041, Std=0.9084, Min=0.0509, Max=4.4097, RMS=2.4767
  Col 35: Mean=78.8989, Std=1.8610, Min=74.1870, Max=82.7381, RMS=78.9209
  Col 36: Mean=-4.2823, Std=14.1112, Min=-30.3456, Max=31.2003, RMS=14.7466
  Col 37: Mean=-76.1463, Std=2.3183, Min=-79.9810, Max=-70.8706, RMS=76.1816
  Col 38: Mean=84.7498, Std=16.2263, Min=48.2708, Max=113.5603, RMS=86.2892
  Col 39: Mean=71.0032, Std=2.5704, Min=64.8706, Max=76.7476, RMS=71.0497
  Col 40: Mean=-56.5474, Std=6.6291, Min=-67.6627, Max=-42.3866, RMS=56.9347
  Col 41: Mean=0.4828, Std=2.2605, Min=-5.0228, Max=7.1836, RMS=2.3115
  Col 42: Mean=-84.5952, Std=4.0373, Min=-91.4127, Max=-76.0943, RMS=84.6915
  Col 43: Mean=-13.4673, Std=6.9419, Min=-28.2917, Max=-1.6082, RMS=15.1512
  Col 44: Mean=166.0644, Std=2.4724, Min=159.6046, Max=173.4603, RMS=166.0828
  Col 45: Mean=-19.3960, Std=118.4064, Min=-179.8902, Max=179.4840, RMS=119.9845
  Col 46: Mean=-75.9041, Std=6.1980, Min=-88.5580, Max=-64.4257, RMS=76.1567
  Col 47: Mean=61.7068, Std=57.7833, Min=2.9217, Max=164.7664, RMS=84.5378
  Col 48: Mean=38.0782, Std=48.7421, Min=-72.5523, Max=81.4074, RMS=61.8525
  Col 49: Mean=-67.1847, Std=15.4645, Min=-84.9143, Max=-32.7442, RMS=68.9415
  Col 50: Mean=-133.0918, Std=47.8293, Min=-178.8780, Max=-29.2609, RMS=141.4251
  Col 51: Mean=-12.2184, Std=40.4538, Min=-46.1266, Max=125.6074, RMS=42.2587
  Col 52: Mean=-43.5781, Std=18.6520, Min=-88.0162, Max=-10.5415, RMS=47.4020
  Col 53: Mean=-40.4097, Std=40.0899, Min=-178.7917, Max=-13.3506, RMS=56.9222
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
