--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0025, Std=1.0993, Min=-3.4580, Max=3.2826, RMS=1.0993
  Col 1: Mean=0.0057, Std=1.1396, Min=-5.3740, Max=3.2550, RMS=1.1396
  Col 2: Mean=0.0055, Std=2.3658, Min=-5.1925, Max=9.1553, RMS=2.3658
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0178, Std=1.0726, Min=-3.0664, Max=3.2583, RMS=1.0728
  Col 13: Mean=0.0155, Std=0.8490, Min=-2.8196, Max=2.6311, RMS=0.8492
  Col 14: Mean=-0.3922, Std=2.8286, Min=-9.1600, Max=6.9443, RMS=2.8557
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0017, Std=1.1744, Min=-3.6019, Max=3.1288, RMS=1.1744
  Col 19: Mean=-0.0010, Std=1.3331, Min=-3.8067, Max=3.6241, RMS=1.3331
  Col 20: Mean=0.0002, Std=2.1176, Min=-4.0907, Max=6.7453, RMS=2.1176
  Col 21: Mean=-0.0050, Std=1.0759, Min=-2.9257, Max=2.6675, RMS=1.0760
  Col 22: Mean=-0.0002, Std=1.2816, Min=-3.1045, Max=2.9683, RMS=1.2816
  Col 23: Mean=-0.0007, Std=2.2323, Min=-3.6302, Max=8.7475, RMS=2.2323
  Col 24: Mean=-0.0052, Std=1.5981, Min=-3.4954, Max=4.1387, RMS=1.5981
  Col 25: Mean=-0.0010, Std=1.1109, Min=-2.3805, Max=2.7737, RMS=1.1109
  Col 26: Mean=-0.0052, Std=2.2520, Min=-4.3049, Max=6.7989, RMS=2.2520
  Col 27: Mean=0.0021, Std=3.0055, Min=-6.5049, Max=5.8844, RMS=3.0055
  Col 28: Mean=0.0074, Std=0.7117, Min=-1.9272, Max=2.2222, RMS=0.7118
  Col 29: Mean=-0.0105, Std=2.6634, Min=-9.1520, Max=7.6079, RMS=2.6634
  Col 30: Mean=0.0068, Std=3.8470, Min=-9.8106, Max=6.7539, RMS=3.8471
  Col 31: Mean=0.0096, Std=0.9534, Min=-2.6767, Max=3.0924, RMS=0.9535
  Col 32: Mean=-0.0504, Std=3.2129, Min=-8.8042, Max=7.2188, RMS=3.2133
  Col 33: Mean=-0.0068, Std=1.0626, Min=-3.0945, Max=3.2642, RMS=1.0626
  Col 34: Mean=-0.0005, Std=1.2955, Min=-2.8264, Max=3.7405, RMS=1.2955
  Col 35: Mean=0.0005, Std=2.2512, Min=-3.7669, Max=9.1752, RMS=2.2512
  Col 36: Mean=-0.0148, Std=1.5455, Min=-4.2345, Max=5.1862, RMS=1.5456
  Col 37: Mean=-0.0007, Std=1.1763, Min=-2.3818, Max=2.9277, RMS=1.1763
  Col 38: Mean=0.0002, Std=2.2379, Min=-4.4741, Max=7.3470, RMS=2.2379
  Col 39: Mean=-0.0088, Std=2.9796, Min=-6.6255, Max=5.1848, RMS=2.9796
  Col 40: Mean=-0.0025, Std=1.1852, Min=-2.7653, Max=2.5938, RMS=1.1852
  Col 41: Mean=-0.0133, Std=2.7047, Min=-5.2300, Max=8.0691, RMS=2.7047
  Col 42: Mean=-0.0042, Std=3.9741, Min=-9.4364, Max=6.9279, RMS=3.9741
  Col 43: Mean=-0.0018, Std=1.3379, Min=-3.1077, Max=3.3365, RMS=1.3379
  Col 44: Mean=-0.0135, Std=3.1045, Min=-6.6140, Max=8.1943, RMS=3.1045
  Col 45: Mean=0.0200, Std=3.3585, Min=-11.8352, Max=13.4637, RMS=3.3586
  Col 46: Mean=-0.0020, Std=1.6690, Min=-7.5529, Max=6.7432, RMS=1.6690
  Col 47: Mean=-0.1047, Std=3.4311, Min=-11.7063, Max=11.9102, RMS=3.4327
  Col 48: Mean=0.0499, Std=3.9107, Min=-20.0466, Max=13.1835, RMS=3.9110
  Col 49: Mean=-0.0204, Std=2.8198, Min=-33.5095, Max=15.3302, RMS=2.8198
  Col 50: Mean=-0.0494, Std=3.6368, Min=-10.3241, Max=28.7383, RMS=3.6371
  Col 51: Mean=0.0806, Std=6.5907, Min=-64.8903, Max=15.7748, RMS=6.5912
  Col 52: Mean=0.0257, Std=2.7709, Min=-23.1645, Max=21.5746, RMS=2.7710
  Col 53: Mean=-0.0311, Std=5.5196, Min=-12.0562, Max=42.1935, RMS=5.5197
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0174, Std=3.4156, Min=-11.6187, Max=16.0479, RMS=3.4156
  Col 58: Mean=0.0132, Std=2.0538, Min=-8.6182, Max=8.7786, RMS=2.0538
  Col 59: Mean=-0.0539, Std=3.3923, Min=-10.0817, Max=11.0370, RMS=3.3927
  Col 60: Mean=0.0530, Std=3.5682, Min=-10.3240, Max=10.9346, RMS=3.5685
  Col 61: Mean=0.0218, Std=1.7938, Min=-8.4484, Max=10.0753, RMS=1.7940
  Col 62: Mean=-0.0406, Std=3.5661, Min=-9.6716, Max=20.2663, RMS=3.5663
  Col 63: Mean=0.0921, Std=6.2417, Min=-35.9637, Max=19.0798, RMS=6.2424
  Col 64: Mean=-0.0032, Std=3.1537, Min=-21.8722, Max=20.9770, RMS=3.1537
  Col 65: Mean=-0.0431, Std=5.5911, Min=-19.7492, Max=37.9833, RMS=5.5913
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=6.4140, Std=6.8264, Min=-8.3533, Max=18.5980, RMS=9.3669
  Col 1: Mean=-62.2869, Std=1.9284, Min=-66.3286, Max=-58.9870, RMS=62.3168
  Col 2: Mean=5.2816, Std=4.6453, Min=-6.2400, Max=15.1418, RMS=7.0338
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=33.5803, Std=36.6774, Min=-179.9835, Max=179.9449, RMS=49.7279
  Col 13: Mean=-75.6049, Std=15.8104, Min=-87.2629, Max=-6.0548, RMS=77.2403
  Col 14: Mean=142.7208, Std=52.5984, Min=-179.9927, Max=179.9667, RMS=152.1046
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-89.5637, Std=8.2027, Min=-104.3125, Max=-73.2458, RMS=89.9385
  Col 19: Mean=4.0522, Std=7.9402, Min=-9.9327, Max=21.3055, RMS=8.9145
  Col 20: Mean=48.2634, Std=4.3803, Min=38.5506, Max=57.0898, RMS=48.4617
  Col 21: Mean=64.6138, Std=5.1557, Min=56.1313, Max=74.7394, RMS=64.8192
  Col 22: Mean=1.7128, Std=2.9704, Min=-7.5233, Max=6.6511, RMS=3.4288
  Col 23: Mean=-82.6219, Std=8.1148, Min=-100.1570, Max=-67.7985, RMS=83.0195
  Col 24: Mean=48.2602, Std=6.2828, Min=31.0351, Max=64.2821, RMS=48.6675
  Col 25: Mean=-58.8914, Std=5.1329, Min=-68.7553, Max=-48.3190, RMS=59.1146
  Col 26: Mean=40.5036, Std=14.5011, Min=15.8641, Max=82.0145, RMS=43.0212
  Col 27: Mean=-44.9222, Std=22.4215, Min=-173.9904, Max=21.1079, RMS=50.2068
  Col 28: Mean=-55.3073, Std=18.1639, Min=-78.3998, Max=-2.7906, RMS=58.2136
  Col 29: Mean=43.1536, Std=149.7385, Min=-179.9571, Max=179.8885, RMS=155.8327
  Col 30: Mean=-69.1920, Std=10.8300, Min=-173.0233, Max=-35.7799, RMS=70.0344
  Col 31: Mean=9.4892, Std=19.0722, Min=-22.1914, Max=50.7405, RMS=21.3025
  Col 32: Mean=-99.7745, Std=127.7817, Min=-179.9708, Max=179.8235, RMS=162.1207
  Col 33: Mean=66.1990, Std=5.1205, Min=57.2946, Max=76.3334, RMS=66.3967
  Col 34: Mean=0.3511, Std=3.0645, Min=-6.6184, Max=5.4472, RMS=3.0846
  Col 35: Mean=-94.8400, Std=9.2919, Min=-115.6537, Max=-78.5572, RMS=95.2941
  Col 36: Mean=-69.9974, Std=8.5545, Min=-85.0155, Max=-47.6876, RMS=70.5182
  Col 37: Mean=-60.8829, Std=5.4081, Min=-71.1295, Max=-51.0859, RMS=61.1226
  Col 38: Mean=-35.0639, Std=17.6375, Min=-74.9617, Max=-2.8866, RMS=39.2499
  Col 39: Mean=-25.6738, Std=69.1461, Min=-179.4414, Max=172.9597, RMS=73.7586
  Col 40: Mean=69.9688, Std=15.2850, Min=35.9700, Max=89.2612, RMS=71.6189
  Col 41: Mean=13.2489, Std=75.1442, Min=-179.9478, Max=179.4818, RMS=76.3032
  Col 42: Mean=-68.7340, Std=8.8002, Min=-82.8697, Max=-48.3346, RMS=69.2951
  Col 43: Mean=-3.3409, Std=18.7855, Min=-39.9176, Max=28.0158, RMS=19.0803
  Col 44: Mean=-10.3889, Std=10.4622, Min=-34.2129, Max=11.5313, RMS=14.7441
  Col 45: Mean=-5.3506, Std=111.2658, Min=-179.8791, Max=179.5956, RMS=111.3944
  Col 46: Mean=-71.7918, Std=14.5950, Min=-89.4745, Max=-6.1318, RMS=73.2604
  Col 47: Mean=-77.7982, Std=98.6602, Min=-179.9905, Max=179.9433, RMS=125.6439
  Col 48: Mean=131.0012, Std=45.1807, Min=-175.1201, Max=179.0567, RMS=138.5735
  Col 49: Mean=-70.1254, Std=12.6222, Min=-88.8448, Max=-39.0238, RMS=71.2523
  Col 50: Mean=-7.2243, Std=35.0160, Min=-179.8214, Max=178.7822, RMS=35.7534
  Col 51: Mean=12.3283, Std=14.2528, Min=-14.3385, Max=70.1007, RMS=18.8449
  Col 52: Mean=-38.3169, Std=11.3200, Min=-66.0313, Max=-9.7218, RMS=39.9541
  Col 53: Mean=144.6129, Std=12.3395, Min=97.1402, Max=160.7190, RMS=145.1384
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=82.0775, Std=70.4357, Min=-22.0423, Max=178.8912, RMS=108.1568
  Col 58: Mean=-70.0459, Std=13.3042, Min=-88.2996, Max=-6.2125, RMS=71.2982
  Col 59: Mean=18.9180, Std=121.4324, Min=-179.5932, Max=179.9261, RMS=122.8972
  Col 60: Mean=-112.7629, Std=26.5616, Min=-144.9812, Max=-2.5883, RMS=115.8490
  Col 61: Mean=-63.6368, Std=12.1965, Min=-83.3690, Max=-26.3514, RMS=64.7951
  Col 62: Mean=-22.1800, Std=25.2963, Min=-128.3158, Max=10.6430, RMS=33.6431
  Col 63: Mean=8.8346, Std=11.2692, Min=-96.9094, Max=80.8028, RMS=14.3194
  Col 64: Mean=-41.8735, Std=16.7613, Min=-89.1419, Max=-7.6515, RMS=45.1035
  Col 65: Mean=-157.0473, Std=27.5232, Min=-176.4208, Max=173.5274, RMS=159.4408
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.6278, Std=0.1027, Min=-0.7686, Max=-0.4243, RMS=0.6361
  Col 1: Mean=-0.0373, Std=0.0746, Min=-0.2236, Max=0.0857, RMS=0.0834
  Col 2: Mean=0.0027, Std=0.0978, Min=-0.2070, Max=0.1213, RMS=0.0979
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.4951, Std=0.1532, Min=-0.7317, Max=-0.1831, RMS=0.5183
  Col 13: Mean=-0.0780, Std=0.0698, Min=-0.2712, Max=0.0786, RMS=0.1046
  Col 14: Mean=-0.3716, Std=0.0823, Min=-0.5369, Max=-0.2107, RMS=0.3806
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.2674, Std=0.0984, Min=-0.5066, Max=-0.0989, RMS=0.2849
  Col 19: Mean=0.5464, Std=0.1131, Min=0.2891, Max=0.6899, RMS=0.5580
  Col 20: Mean=0.2925, Std=0.1150, Min=0.0894, Max=0.5120, RMS=0.3143
  Col 21: Mean=0.0905, Std=0.0899, Min=-0.0967, Max=0.2981, RMS=0.1276
  Col 22: Mean=-0.7235, Std=0.1061, Min=-0.8606, Max=-0.4631, RMS=0.7312
  Col 23: Mean=0.0688, Std=0.1389, Min=-0.1589, Max=0.3601, RMS=0.1550
  Col 24: Mean=-0.5963, Std=0.1094, Min=-0.7454, Max=-0.3459, RMS=0.6063
  Col 25: Mean=0.0132, Std=0.1232, Min=-0.2251, Max=0.2302, RMS=0.1239
  Col 26: Mean=-0.2133, Std=0.0741, Min=-0.4202, Max=-0.0823, RMS=0.2258
  Col 27: Mean=-0.4095, Std=0.2150, Min=-0.8171, Max=0.0967, RMS=0.4625
  Col 28: Mean=0.5644, Std=0.1445, Min=0.2480, Max=0.8662, RMS=0.5826
