--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0029, Std=1.7088, Min=-4.4060, Max=3.5758, RMS=1.7088
  Col 1: Mean=0.0006, Std=1.6205, Min=-4.9336, Max=4.0973, RMS=1.6205
  Col 2: Mean=-0.0062, Std=1.6244, Min=-3.4689, Max=5.1152, RMS=1.6244
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0040, Std=0.7599, Min=-1.9572, Max=2.1402, RMS=0.7599
  Col 13: Mean=0.0046, Std=0.8686, Min=-2.0604, Max=2.9938, RMS=0.8686
  Col 14: Mean=-0.0584, Std=2.0509, Min=-8.8840, Max=5.4269, RMS=2.0517
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0045, Std=0.4385, Min=-2.1446, Max=1.6348, RMS=0.4385
  Col 19: Mean=-0.0003, Std=1.0008, Min=-2.5180, Max=2.7978, RMS=1.0008
  Col 20: Mean=-0.0030, Std=1.6395, Min=-2.6969, Max=5.7015, RMS=1.6395
  Col 21: Mean=-0.0089, Std=0.6813, Min=-1.9197, Max=2.0574, RMS=0.6813
  Col 22: Mean=0.0014, Std=0.7867, Min=-1.8851, Max=1.8747, RMS=0.7867
  Col 23: Mean=0.0004, Std=1.7621, Min=-2.9738, Max=5.0356, RMS=1.7621
  Col 24: Mean=-0.0114, Std=1.4153, Min=-3.5926, Max=3.4676, RMS=1.4153
  Col 25: Mean=-0.0012, Std=0.8734, Min=-1.8395, Max=2.4203, RMS=0.8734
  Col 26: Mean=-0.0039, Std=1.6755, Min=-3.0201, Max=4.4677, RMS=1.6755
  Col 27: Mean=-0.0001, Std=3.4395, Min=-6.6226, Max=6.2435, RMS=3.4395
  Col 28: Mean=0.0000, Std=0.8931, Min=-1.9261, Max=2.2663, RMS=0.8931
  Col 29: Mean=-0.0061, Std=1.4718, Min=-3.5425, Max=3.6395, RMS=1.4718
  Col 30: Mean=0.0043, Std=4.3627, Min=-8.4963, Max=8.4963, RMS=4.3627
  Col 31: Mean=-0.0146, Std=1.0746, Min=-2.5520, Max=4.0043, RMS=1.0747
  Col 32: Mean=-0.3928, Std=2.3790, Min=-8.9073, Max=4.0878, RMS=2.4112
  Col 33: Mean=-0.0076, Std=0.7526, Min=-2.6628, Max=2.4707, RMS=0.7526
  Col 34: Mean=0.0026, Std=0.7870, Min=-1.9383, Max=1.8545, RMS=0.7870
  Col 35: Mean=-0.0005, Std=1.7535, Min=-3.1037, Max=4.6545, RMS=1.7535
  Col 36: Mean=-0.0066, Std=1.4236, Min=-4.5925, Max=3.2946, RMS=1.4236
  Col 37: Mean=0.0085, Std=0.8794, Min=-2.0362, Max=2.8502, RMS=0.8794
  Col 38: Mean=-0.0036, Std=1.9141, Min=-3.4233, Max=5.6879, RMS=1.9141
  Col 39: Mean=0.0055, Std=2.8620, Min=-6.0551, Max=5.8248, RMS=2.8620
  Col 40: Mean=0.0027, Std=0.7496, Min=-1.7778, Max=2.1005, RMS=0.7496
  Col 41: Mean=-0.0084, Std=1.5223, Min=-3.1584, Max=5.5678, RMS=1.5223
  Col 42: Mean=-0.1783, Std=3.6633, Min=-7.9933, Max=8.1684, RMS=3.6676
  Col 43: Mean=-0.0132, Std=0.9492, Min=-2.6355, Max=3.1759, RMS=0.9493
  Col 44: Mean=-0.5336, Std=2.3365, Min=-8.8883, Max=5.3355, RMS=2.3967
  Col 45: Mean=-0.0540, Std=5.0609, Min=-14.6738, Max=16.1925, RMS=5.0612
  Col 46: Mean=0.0514, Std=3.3346, Min=-12.5188, Max=14.5749, RMS=3.3350
  Col 47: Mean=-0.3023, Std=4.6174, Min=-10.2365, Max=19.0807, RMS=4.6273
  Col 48: Mean=0.0576, Std=5.6785, Min=-11.3511, Max=18.0616, RMS=5.6788
  Col 49: Mean=-0.0174, Std=2.2767, Min=-10.7520, Max=6.6913, RMS=2.2768
  Col 50: Mean=-0.1554, Std=2.8411, Min=-9.6816, Max=17.9560, RMS=2.8454
  Col 51: Mean=0.0644, Std=11.2580, Min=-36.1662, Max=45.3745, RMS=11.2582
  Col 52: Mean=-0.0667, Std=3.3913, Min=-17.8767, Max=12.6464, RMS=3.3920
  Col 53: Mean=-0.2600, Std=7.3281, Min=-31.6771, Max=16.3716, RMS=7.3328
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0489, Std=4.8743, Min=-16.7642, Max=15.7409, RMS=4.8746
  Col 58: Mean=-0.0002, Std=3.1146, Min=-9.7252, Max=13.1621, RMS=3.1146
  Col 59: Mean=-0.4117, Std=4.4403, Min=-11.1317, Max=17.6107, RMS=4.4593
  Col 60: Mean=0.0390, Std=5.6322, Min=-13.8433, Max=17.4449, RMS=5.6323
  Col 61: Mean=0.0255, Std=1.9351, Min=-6.9265, Max=10.2714, RMS=1.9353
  Col 62: Mean=-0.1379, Std=3.1358, Min=-10.9395, Max=16.4391, RMS=3.1388
  Col 63: Mean=0.0749, Std=11.4940, Min=-35.9257, Max=45.3823, RMS=11.4942
  Col 64: Mean=0.1154, Std=3.1979, Min=-11.2066, Max=17.2143, RMS=3.2000
  Col 65: Mean=-0.2550, Std=7.6326, Min=-33.0860, Max=17.9889, RMS=7.6368
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-7.2444, Std=20.0467, Min=-42.6444, Max=28.0899, RMS=21.3156
  Col 1: Mean=-78.1177, Std=2.1247, Min=-83.4532, Max=-72.4917, RMS=78.1465
  Col 2: Mean=6.2241, Std=17.7156, Min=-29.8225, Max=42.6125, RMS=18.7772
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-12.7893, Std=14.7187, Min=-179.9269, Max=-1.2404, RMS=19.4989
  Col 13: Mean=-66.4459, Std=5.5530, Min=-74.9522, Max=-5.6694, RMS=66.6775
  Col 14: Mean=-163.0508, Std=31.8114, Min=-179.9707, Max=179.9815, RMS=166.1251
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=59.8195, Std=5.5649, Min=52.4740, Max=83.3770, RMS=60.0777
  Col 19: Mean=-0.2799, Std=1.8643, Min=-5.2714, Max=3.7698, RMS=1.8852
  Col 20: Mean=89.8724, Std=2.0907, Min=83.9196, Max=94.3397, RMS=89.8967
  Col 21: Mean=55.0963, Std=2.5488, Min=47.0593, Max=61.7242, RMS=55.1552
  Col 22: Mean=3.1259, Std=1.7608, Min=-1.1932, Max=7.6935, RMS=3.5877
  Col 23: Mean=-79.8642, Std=4.0157, Min=-89.3125, Max=-72.7243, RMS=79.9651
  Col 24: Mean=-4.3687, Std=15.4234, Min=-25.1946, Max=40.6060, RMS=16.0302
  Col 25: Mean=-71.3699, Std=5.7651, Min=-81.3478, Max=-58.0525, RMS=71.6024
  Col 26: Mean=117.7103, Std=21.3489, Min=62.7101, Max=145.5947, RMS=119.6306
  Col 27: Mean=-76.1075, Std=5.1006, Min=-101.1313, Max=-50.8602, RMS=76.2782
  Col 28: Mean=-58.6395, Std=16.1285, Min=-85.5993, Max=-27.7332, RMS=60.8171
  Col 29: Mean=-19.0287, Std=173.9489, Min=-179.9961, Max=179.9966, RMS=174.9866
  Col 30: Mean=-81.7743, Std=19.5983, Min=-173.1042, Max=-69.9538, RMS=84.0900
  Col 31: Mean=5.7997, Std=16.7698, Min=-24.4680, Max=38.5270, RMS=17.7444
  Col 32: Mean=63.9293, Std=160.2589, Min=-179.9873, Max=179.9985, RMS=172.5395
  Col 33: Mean=54.2118, Std=2.5572, Min=46.5710, Max=60.0914, RMS=54.2721
  Col 34: Mean=-6.7432, Std=1.8165, Min=-10.7716, Max=-2.6372, RMS=6.9835
  Col 35: Mean=-99.9345, Std=3.7610, Min=-108.1268, Max=-92.2491, RMS=100.0053
  Col 36: Mean=-0.8746, Std=11.4948, Min=-27.2278, Max=22.6937, RMS=11.5280
  Col 37: Mean=-68.8069, Std=4.0685, Min=-76.3826, Max=-59.5190, RMS=68.9271
  Col 38: Mean=-109.0750, Std=17.0192, Min=-142.5076, Max=-73.4992, RMS=110.3948
  Col 39: Mean=43.3255, Std=16.6782, Min=-23.8111, Max=65.7355, RMS=46.4248
  Col 40: Mean=-67.1352, Std=11.4924, Min=-85.1616, Max=-40.4998, RMS=68.1118
  Col 41: Mean=-112.5028, Std=122.1369, Min=-179.9986, Max=179.9980, RMS=166.0551
  Col 42: Mean=86.4028, Std=20.6622, Min=67.0658, Max=173.6169, RMS=88.8390
  Col 43: Mean=-2.9996, Std=12.2652, Min=-28.2434, Max=24.6993, RMS=12.6266
  Col 44: Mean=156.7707, Std=7.1093, Min=142.3881, Max=178.8359, RMS=156.9318
