--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Camilla/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0465, Std=1.9477, Min=-5.3572, Max=5.7310, RMS=1.9482
  Col 1: Mean=-0.0569, Std=1.2652, Min=-4.1386, Max=5.1824, RMS=1.2664
  Col 2: Mean=-0.2498, Std=2.3120, Min=-9.0133, Max=5.2258, RMS=2.3254
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0052, Std=1.0792, Min=-2.2447, Max=3.3764, RMS=1.0792
  Col 13: Mean=0.0007, Std=0.9576, Min=-2.5427, Max=2.9587, RMS=0.9576
  Col 14: Mean=-0.0006, Std=2.0639, Min=-4.0266, Max=6.6875, RMS=2.0639
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0012, Std=0.5281, Min=-1.3885, Max=1.7848, RMS=0.5281
  Col 19: Mean=-0.0016, Std=0.5700, Min=-2.1538, Max=1.8092, RMS=0.5700
  Col 20: Mean=-0.0025, Std=1.6147, Min=-2.6465, Max=4.5028, RMS=1.6147
  Col 21: Mean=0.0058, Std=1.1642, Min=-2.4607, Max=3.7555, RMS=1.1642
  Col 22: Mean=0.0022, Std=0.8841, Min=-2.4917, Max=3.7348, RMS=0.8841
  Col 23: Mean=0.0002, Std=1.7428, Min=-3.4415, Max=4.7362, RMS=1.7428
  Col 24: Mean=-0.0000, Std=1.7506, Min=-4.3648, Max=5.0929, RMS=1.7506
  Col 25: Mean=0.0187, Std=0.9217, Min=-3.1854, Max=3.2238, RMS=0.9219
  Col 26: Mean=-0.0086, Std=1.8405, Min=-4.2843, Max=5.2188, RMS=1.8405
  Col 27: Mean=-0.0118, Std=2.8255, Min=-7.1790, Max=5.1555, RMS=2.8256
  Col 28: Mean=0.0033, Std=0.8307, Min=-2.6360, Max=2.0934, RMS=0.8307
  Col 29: Mean=-0.0155, Std=1.6278, Min=-3.4140, Max=5.3613, RMS=1.6279
  Col 30: Mean=-0.0219, Std=3.9840, Min=-11.0146, Max=7.6032, RMS=3.9841
  Col 31: Mean=-0.0007, Std=1.0639, Min=-3.5454, Max=3.1013, RMS=1.0639
  Col 32: Mean=-0.0299, Std=1.9334, Min=-5.9230, Max=4.9579, RMS=1.9336
  Col 33: Mean=0.0049, Std=1.0878, Min=-2.7730, Max=4.2791, RMS=1.0878
  Col 34: Mean=-0.0005, Std=0.9159, Min=-2.4542, Max=2.6989, RMS=0.9159
  Col 35: Mean=0.0017, Std=1.6890, Min=-3.3815, Max=4.6583, RMS=1.6890
  Col 36: Mean=0.0035, Std=2.5035, Min=-5.9223, Max=12.0142, RMS=2.5035
  Col 37: Mean=-0.0231, Std=1.1948, Min=-3.6559, Max=3.5004, RMS=1.1950
  Col 38: Mean=-0.0142, Std=1.8322, Min=-4.6339, Max=6.0626, RMS=1.8323
  Col 39: Mean=-0.0099, Std=4.1649, Min=-10.5324, Max=7.0459, RMS=4.1649
  Col 40: Mean=-0.0094, Std=1.3430, Min=-3.7096, Max=2.4629, RMS=1.3431
  Col 41: Mean=-0.0276, Std=1.9821, Min=-6.6005, Max=5.2325, RMS=1.9823
  Col 42: Mean=0.0323, Std=5.4540, Min=-14.7502, Max=9.3106, RMS=5.4541
  Col 43: Mean=0.0076, Std=2.0017, Min=-5.6842, Max=4.9573, RMS=2.0017
  Col 44: Mean=-0.2273, Std=3.3918, Min=-10.0010, Max=9.2526, RMS=3.3994
  Col 45: Mean=0.0004, Std=3.7551, Min=-10.4012, Max=9.8215, RMS=3.7551
  Col 46: Mean=-0.0081, Std=2.1589, Min=-7.0105, Max=6.1023, RMS=2.1589
  Col 47: Mean=-0.0140, Std=4.8140, Min=-10.4934, Max=23.1521, RMS=4.8141
  Col 48: Mean=-0.0530, Std=6.2611, Min=-19.5900, Max=17.1295, RMS=6.2614
  Col 49: Mean=0.0123, Std=3.0639, Min=-13.1987, Max=9.8611, RMS=3.0640
  Col 50: Mean=-0.1360, Std=3.5604, Min=-12.4018, Max=10.0221, RMS=3.5630
  Col 51: Mean=-0.1088, Std=10.8028, Min=-33.9287, Max=35.9409, RMS=10.8033
  Col 52: Mean=0.0791, Std=4.5573, Min=-21.7035, Max=25.9023, RMS=4.5580
  Col 53: Mean=-0.2761, Std=6.8342, Min=-32.7116, Max=24.3754, RMS=6.8398
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0095, Std=3.7428, Min=-10.0523, Max=15.6893, RMS=3.7428
  Col 58: Mean=-0.0037, Std=2.6437, Min=-11.0060, Max=8.0293, RMS=2.6437
  Col 59: Mean=-0.0096, Std=6.0394, Min=-14.9827, Max=42.0410, RMS=6.0394
  Col 60: Mean=-0.0423, Std=5.9965, Min=-15.5343, Max=11.1904, RMS=5.9967
  Col 61: Mean=-0.0606, Std=3.3674, Min=-11.9986, Max=9.0726, RMS=3.3679
  Col 62: Mean=-0.1498, Std=3.4158, Min=-8.5792, Max=15.2972, RMS=3.4191
  Col 63: Mean=-0.0732, Std=11.1460, Min=-37.0039, Max=39.5232, RMS=11.1463
  Col 64: Mean=-0.0732, Std=4.1911, Min=-16.7570, Max=17.7802, RMS=4.1918
  Col 65: Mean=-0.2852, Std=7.8840, Min=-38.1584, Max=22.7804, RMS=7.8892
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=1.4739, Std=32.5918, Min=-179.9680, Max=179.9822, RMS=32.6252
  Col 1: Mean=-70.0891, Std=11.6760, Min=-78.5520, Max=-5.8627, RMS=71.0550
  Col 2: Mean=-112.0612, Std=124.3786, Min=-179.9912, Max=179.9888, RMS=167.4149
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-13.7903, Std=2.4796, Min=-21.2127, Max=-8.1284, RMS=14.0115
  Col 13: Mean=-60.1041, Std=2.7806, Min=-67.8805, Max=-52.6184, RMS=60.1684
  Col 14: Mean=20.8267, Std=3.1489, Min=10.1399, Max=28.2427, RMS=21.0634
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-60.8817, Std=5.3354, Min=-79.5271, Max=-51.2636, RMS=61.1151
  Col 19: Mean=-4.5102, Std=1.9785, Min=-9.2818, Max=1.2788, RMS=4.9251
  Col 20: Mean=93.2378, Std=2.8627, Min=87.5075, Max=102.1533, RMS=93.2817
  Col 21: Mean=62.6673, Std=3.2220, Min=53.9696, Max=73.0095, RMS=62.7501
  Col 22: Mean=3.0833, Std=0.9290, Min=0.3566, Max=5.3842, RMS=3.2202
  Col 23: Mean=111.2008, Std=2.8143, Min=103.5409, Max=117.3642, RMS=111.2364
  Col 24: Mean=-25.7327, Std=15.7040, Min=-55.4167, Max=14.4240, RMS=30.1461
  Col 25: Mean=-74.7581, Std=5.6153, Min=-83.8062, Max=-60.5717, RMS=74.9687
  Col 26: Mean=-41.3030, Std=21.1287, Min=-95.4712, Max=-16.4250, RMS=46.3935
  Col 27: Mean=-15.3696, Std=24.6457, Min=-50.8844, Max=48.5256, RMS=29.0453
  Col 28: Mean=-61.9367, Std=11.1614, Min=-74.7102, Max=-30.4100, RMS=62.9344
  Col 29: Mean=-44.4251, Std=31.0758, Min=-121.6792, Max=-5.2690, RMS=54.2152
  Col 30: Mean=-70.8488, Std=10.5889, Min=-91.8256, Max=-41.9126, RMS=71.6357
  Col 31: Mean=4.2739, Std=14.9675, Min=-26.8647, Max=39.5174, RMS=15.5658
  Col 32: Mean=29.0120, Std=11.5863, Min=2.8743, Max=50.2441, RMS=31.2400
  Col 33: Mean=63.3903, Std=2.9444, Min=56.2562, Max=71.9757, RMS=63.4586
  Col 34: Mean=6.3099, Std=1.4775, Min=1.7070, Max=9.2048, RMS=6.4806
  Col 35: Mean=86.4413, Std=2.6773, Min=77.3953, Max=93.0594, RMS=86.4828
  Col 36: Mean=0.9963, Std=43.1575, Min=-74.7365, Max=64.2815, RMS=43.1690
  Col 37: Mean=-78.4809, Std=4.7171, Min=-86.8841, Max=-65.9212, RMS=78.6225
  Col 38: Mean=90.9625, Std=52.4772, Min=25.7562, Max=177.0053, RMS=105.0145
  Col 39: Mean=23.9166, Std=35.2549, Min=-66.1415, Max=63.4908, RMS=42.6018
  Col 40: Mean=-61.1666, Std=17.6332, Min=-80.0309, Max=-15.4874, RMS=63.6575
  Col 41: Mean=58.8358, Std=45.0966, Min=6.3008, Max=159.1652, RMS=74.1307
  Col 42: Mean=-74.6990, Std=22.1667, Min=-173.1222, Max=-29.2990, RMS=77.9186
  Col 43: Mean=-0.2442, Std=20.8730, Min=-44.2152, Max=39.0730, RMS=20.8745
  Col 44: Mean=98.5376, Std=128.2311, Min=-179.9972, Max=179.9858, RMS=161.7185
  Col 45: Mean=78.8744, Std=63.9783, Min=4.1955, Max=164.3924, RMS=101.5598
  Col 46: Mean=-72.8848, Std=7.4698, Min=-86.9296, Max=-57.3983, RMS=73.2666
  Col 47: Mean=-83.6360, Std=68.1524, Min=-174.6304, Max=-3.8857, RMS=107.8876
  Col 48: Mean=-16.9687, Std=153.3580, Min=-179.7527, Max=179.9269, RMS=154.2939
  Col 49: Mean=-65.8458, Std=16.7034, Min=-89.2223, Max=-32.6686, RMS=67.9313
  Col 50: Mean=-137.2411, Std=58.8015, Min=-178.2026, Max=9.3828, RMS=149.3075
  Col 51: Mean=-33.7740, Std=43.4874, Min=-161.4031, Max=-7.3108, RMS=55.0621
  Col 52: Mean=-40.7139, Std=20.1305, Min=-85.5040, Max=1.2339, RMS=45.4187
  Col 53: Mean=34.7180, Std=40.3966, Min=-0.4626, Max=160.2391, RMS=53.2656
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=15.3504, Std=112.4954, Min=-179.9268, Max=179.8310, RMS=113.5378
  Col 58: Mean=-74.6668, Std=7.5004, Min=-89.6606, Max=-60.6992, RMS=75.0426
  Col 59: Mean=-31.4479, Std=106.8549, Min=-179.9713, Max=179.9283, RMS=111.3865
  Col 60: Mean=-37.2968, Std=142.3489, Min=-179.9852, Max=179.9407, RMS=147.1539
  Col 61: Mean=-66.8383, Std=16.7850, Min=-89.7438, Max=-31.1004, RMS=68.9137
  Col 62: Mean=-80.2321, Std=124.5102, Min=-179.8417, Max=179.7279, RMS=148.1215
  Col 63: Mean=18.9924, Std=61.5843, Min=-179.1637, Max=179.9604, RMS=64.4464
  Col 64: Mean=-40.1843, Std=21.5543, Min=-88.8596, Max=-0.3077, RMS=45.6000
  Col 65: Mean=-10.1899, Std=52.6958, Min=-179.7409, Max=179.5106, RMS=53.6719
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.4813, Std=0.0901, Min=-0.6511, Max=-0.2837, RMS=0.4897
  Col 1: Mean=-0.1122, Std=0.0482, Min=-0.2432, Max=-0.0010, RMS=0.1221
  Col 2: Mean=-0.5817, Std=0.0677, Min=-0.7058, Max=-0.4351, RMS=0.5857
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
