--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/walk/Run_5
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0002, Std=2.1719, Min=-7.5967, Max=5.3772, RMS=2.1719
  Col 1: Mean=0.0022, Std=2.0132, Min=-5.3273, Max=5.7650, RMS=2.0132
  Col 2: Mean=0.0075, Std=2.7602, Min=-5.7509, Max=7.2857, RMS=2.7602
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0037, Std=0.8657, Min=-2.3650, Max=1.9905, RMS=0.8657
  Col 13: Mean=-0.0044, Std=1.1101, Min=-2.8620, Max=2.5014, RMS=1.1101
  Col 14: Mean=0.0013, Std=2.6136, Min=-4.5562, Max=7.3287, RMS=2.6136
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0021, Std=0.4784, Min=-1.3501, Max=1.6687, RMS=0.4784
  Col 19: Mean=-0.0027, Std=0.6680, Min=-1.8135, Max=2.2032, RMS=0.6680
  Col 20: Mean=-0.0031, Std=2.4890, Min=-4.7724, Max=9.3068, RMS=2.4890
  Col 21: Mean=-0.0060, Std=0.9059, Min=-2.4822, Max=2.4397, RMS=0.9059
  Col 22: Mean=-0.0037, Std=0.9984, Min=-3.0527, Max=3.3194, RMS=0.9984
  Col 23: Mean=0.0017, Std=2.4470, Min=-4.6194, Max=7.8153, RMS=2.4470
  Col 24: Mean=-0.0096, Std=1.9064, Min=-5.8991, Max=4.8029, RMS=1.9065
  Col 25: Mean=-0.0135, Std=1.0360, Min=-3.1602, Max=4.1303, RMS=1.0361
  Col 26: Mean=-0.0093, Std=2.2991, Min=-4.1443, Max=7.3575, RMS=2.2991
  Col 27: Mean=-0.0073, Std=4.1302, Min=-8.8445, Max=8.7807, RMS=4.1302
  Col 28: Mean=-0.0135, Std=0.8581, Min=-2.7480, Max=3.7852, RMS=0.8582
  Col 29: Mean=-0.0226, Std=1.6509, Min=-4.0659, Max=5.6957, RMS=1.6511
  Col 30: Mean=-0.0747, Std=5.5247, Min=-13.0695, Max=13.5720, RMS=5.5252
  Col 31: Mean=-0.0063, Std=1.1732, Min=-3.7781, Max=2.8226, RMS=1.1732
  Col 32: Mean=-0.2144, Std=2.1131, Min=-8.6162, Max=4.8921, RMS=2.1240
  Col 33: Mean=-0.0037, Std=0.9347, Min=-2.9366, Max=2.8302, RMS=0.9347
  Col 34: Mean=-0.0013, Std=1.0531, Min=-3.2186, Max=3.0098, RMS=1.0531
  Col 35: Mean=0.0019, Std=2.4312, Min=-4.4755, Max=7.2068, RMS=2.4312
  Col 36: Mean=-0.0084, Std=2.1909, Min=-5.9940, Max=4.9702, RMS=2.1909
  Col 37: Mean=0.0108, Std=1.4333, Min=-3.9003, Max=4.3333, RMS=1.4333
  Col 38: Mean=-0.0106, Std=2.0937, Min=-4.1655, Max=7.4676, RMS=2.0938
  Col 39: Mean=0.0037, Std=4.6733, Min=-9.7812, Max=9.7449, RMS=4.6733
  Col 40: Mean=0.0072, Std=1.4956, Min=-2.9529, Max=4.2529, RMS=1.4956
  Col 41: Mean=-0.0195, Std=1.6109, Min=-5.5448, Max=4.9584, RMS=1.6111
  Col 42: Mean=0.0303, Std=6.5590, Min=-12.8033, Max=16.8655, RMS=6.5591
  Col 43: Mean=0.0042, Std=2.2086, Min=-4.3519, Max=8.6197, RMS=2.2086
  Col 44: Mean=-0.0632, Std=2.4184, Min=-9.2022, Max=5.3979, RMS=2.4193
  Col 45: Mean=-0.0064, Std=4.8446, Min=-14.2692, Max=17.9584, RMS=4.8446
  Col 46: Mean=-0.0147, Std=3.0055, Min=-8.8250, Max=13.4443, RMS=3.0056
  Col 47: Mean=-0.3848, Std=6.8252, Min=-13.2067, Max=38.2901, RMS=6.8361
  Col 48: Mean=0.0876, Std=7.5239, Min=-16.1648, Max=26.3271, RMS=7.5244
  Col 49: Mean=0.0044, Std=3.5077, Min=-14.3979, Max=10.4526, RMS=3.5077
  Col 50: Mean=-0.2218, Std=4.2894, Min=-12.7398, Max=17.0928, RMS=4.2952
  Col 51: Mean=0.8430, Std=12.8476, Min=-54.7437, Max=45.4855, RMS=12.8753
  Col 52: Mean=-0.0814, Std=5.5849, Min=-35.4604, Max=37.7797, RMS=5.5855
  Col 53: Mean=-0.4250, Std=8.4974, Min=-44.8363, Max=26.4245, RMS=8.5080
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0045, Std=4.7322, Min=-13.5159, Max=19.5178, RMS=4.7322
  Col 58: Mean=-0.0228, Std=3.0689, Min=-11.7559, Max=9.0280, RMS=3.0690
  Col 59: Mean=-0.0267, Std=7.0642, Min=-14.5760, Max=38.6532, RMS=7.0643
  Col 60: Mean=0.0601, Std=7.0636, Min=-15.6078, Max=21.3476, RMS=7.0639
  Col 61: Mean=0.0367, Std=3.7099, Min=-13.6237, Max=16.5324, RMS=3.7100
  Col 62: Mean=-0.3100, Std=4.4535, Min=-9.8410, Max=18.9305, RMS=4.4642
  Col 63: Mean=0.1407, Std=13.9861, Min=-52.9392, Max=47.2762, RMS=13.9868
  Col 64: Mean=0.0163, Std=4.8357, Min=-33.9389, Max=23.5393, RMS=4.8357
  Col 65: Mean=-0.3508, Std=9.4336, Min=-51.2488, Max=26.2848, RMS=9.4402
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-0.7847, Std=11.4581, Min=-36.5754, Max=18.9744, RMS=11.4850
  Col 1: Mean=-73.0591, Std=3.6104, Min=-80.9038, Max=-61.2187, RMS=73.1483
  Col 2: Mean=12.9555, Std=12.7780, Min=-12.3501, Max=47.0793, RMS=18.1967
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-16.9703, Std=4.8409, Min=-30.3603, Max=-6.1733, RMS=17.6472
  Col 13: Mean=-66.7869, Std=2.7832, Min=-76.1272, Max=-60.0718, RMS=66.8449
  Col 14: Mean=-153.0106, Std=4.4468, Min=-164.5152, Max=-140.9133, RMS=153.0752
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=68.0283, Std=7.4318, Min=51.7216, Max=81.8731, RMS=68.4330
  Col 19: Mean=4.8079, Std=2.3205, Min=-0.8828, Max=9.8206, RMS=5.3386
  Col 20: Mean=108.8936, Std=2.7112, Min=100.6664, Max=115.6371, RMS=108.9274
  Col 21: Mean=51.9166, Std=2.9221, Min=40.0816, Max=58.4488, RMS=51.9988
  Col 22: Mean=3.0029, Std=1.6320, Min=-1.0135, Max=6.8281, RMS=3.4177
  Col 23: Mean=-66.9303, Std=4.0554, Min=-75.9917, Max=-58.0703, RMS=67.0530
  Col 24: Mean=31.5021, Std=24.7849, Min=-9.5181, Max=76.5346, RMS=40.0833
  Col 25: Mean=-73.9733, Std=3.3573, Min=-79.9307, Max=-65.3693, RMS=74.0494
  Col 26: Mean=83.9771, Std=33.1195, Min=26.4705, Max=136.0769, RMS=90.2721
  Col 27: Mean=-28.8882, Std=27.1180, Min=-58.3984, Max=43.1032, RMS=39.6221
  Col 28: Mean=-60.0373, Std=12.8153, Min=-76.5268, Max=-30.0307, RMS=61.3898
  Col 29: Mean=134.9914, Std=35.6912, Min=54.1333, Max=175.6435, RMS=139.6300
  Col 30: Mean=-66.2149, Std=16.9067, Min=-173.3029, Max=-29.7630, RMS=68.3392
  Col 31: Mean=6.6046, Std=17.4708, Min=-28.2286, Max=42.2378, RMS=18.6775
  Col 32: Mean=-112.1108, Std=114.4603, Min=-179.9824, Max=179.9367, RMS=160.2185
  Col 33: Mean=50.1420, Std=3.2759, Min=39.9698, Max=59.2305, RMS=50.2489
  Col 34: Mean=-2.8355, Std=1.3515, Min=-7.5164, Max=0.3171, RMS=3.1411
  Col 35: Mean=-97.0364, Std=3.9221, Min=-104.6004, Max=-88.9605, RMS=97.1156
  Col 36: Mean=30.5206, Std=22.9223, Min=-20.6668, Max=69.3188, RMS=38.1699
  Col 37: Mean=-70.9405, Std=6.3364, Min=-80.3385, Max=-53.0552, RMS=71.2230
  Col 38: Mean=-104.6190, Std=34.2951, Min=-154.5236, Max=-38.8549, RMS=110.0968
  Col 39: Mean=22.6366, Std=30.7692, Min=-54.8934, Max=54.6562, RMS=38.1989
  Col 40: Mean=-59.5741, Std=16.0529, Min=-80.6130, Max=-24.8858, RMS=61.6990
  Col 41: Mean=-129.0292, Std=52.3497, Min=-179.8594, Max=179.7659, RMS=139.2445
  Col 42: Mean=-71.5738, Std=8.2380, Min=-84.8559, Max=-45.6434, RMS=72.0463
  Col 43: Mean=-20.7483, Std=23.2276, Min=-71.9912, Max=23.2353, RMS=31.1450
  Col 44: Mean=6.2706, Std=17.5303, Min=-35.6805, Max=43.3631, RMS=18.6181
  Col 45: Mean=14.9155, Std=120.0379, Min=-179.9636, Max=179.9894, RMS=120.9611
  Col 46: Mean=-73.0133, Std=13.9253, Min=-89.6249, Max=-5.4986, RMS=74.3293
  Col 47: Mean=-46.9211, Std=112.5034, Min=-179.9913, Max=179.9280, RMS=121.8959
  Col 48: Mean=-23.5722, Std=123.9849, Min=-179.9699, Max=179.8358, RMS=126.2058
  Col 49: Mean=-69.2113, Std=15.3952, Min=-89.4309, Max=-36.1985, RMS=70.9029
  Col 50: Mean=-55.8598, Std=63.5781, Min=-167.4935, Max=90.3795, RMS=84.6316
  Col 51: Mean=-0.5013, Std=68.7208, Min=-179.8130, Max=179.8516, RMS=68.7226
  Col 52: Mean=-44.6158, Std=19.5749, Min=-89.0674, Max=-0.5886, RMS=48.7211
  Col 53: Mean=-20.9257, Std=158.1430, Min=-179.9969, Max=179.9823, RMS=159.5214
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=78.7925, Std=76.2633, Min=-179.9629, Max=179.8731, RMS=109.6556
  Col 58: Mean=-73.6078, Std=7.6393, Min=-88.4020, Max=-6.0845, RMS=74.0032
  Col 59: Mean=23.4859, Std=124.5151, Min=-179.9678, Max=179.8754, RMS=126.7107
  Col 60: Mean=52.4668, Std=135.6440, Min=-179.9378, Max=179.9668, RMS=145.4374
  Col 61: Mean=-65.5400, Std=19.0044, Min=-88.6580, Max=-4.0368, RMS=68.2397
  Col 62: Mean=38.0874, Std=69.8123, Min=-179.9001, Max=179.9517, RMS=79.5261
  Col 63: Mean=-13.6692, Std=53.2807, Min=-179.6393, Max=176.4707, RMS=55.0062
  Col 64: Mean=-40.7144, Std=19.5488, Min=-88.2276, Max=-2.1264, RMS=45.1643
  Col 65: Mean=-128.4468, Std=56.9738, Min=-177.5648, Max=172.3192, RMS=140.5154
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.5184, Std=0.0944, Min=-0.6772, Max=-0.2729, RMS=0.5269
  Col 1: Mean=-0.1254, Std=0.0432, Min=-0.2424, Max=0.0010, RMS=0.1327
  Col 2: Mean=-0.5422, Std=0.0692, Min=-0.6665, Max=-0.3918, RMS=0.5466
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
