--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0055, Std=1.2826, Min=-3.8708, Max=4.8752, RMS=1.2826
  Col 1: Mean=0.0043, Std=1.6002, Min=-3.1595, Max=5.7446, RMS=1.6002
  Col 2: Mean=0.0016, Std=2.3494, Min=-5.2786, Max=6.9290, RMS=2.3494
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0041, Std=0.9449, Min=-2.2041, Max=2.2068, RMS=0.9449
  Col 13: Mean=-0.0020, Std=0.9645, Min=-2.6550, Max=2.1912, RMS=0.9645
  Col 14: Mean=0.0163, Std=1.8224, Min=-4.1089, Max=4.5567, RMS=1.8225
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0084, Std=0.8805, Min=-2.0447, Max=2.7646, RMS=0.8805
  Col 19: Mean=0.0060, Std=0.9844, Min=-2.4442, Max=2.1089, RMS=0.9844
  Col 20: Mean=-0.0050, Std=1.5848, Min=-3.8406, Max=5.7306, RMS=1.5848
  Col 21: Mean=0.0070, Std=1.1023, Min=-2.1109, Max=3.2213, RMS=1.1023
  Col 22: Mean=-0.0109, Std=0.9828, Min=-2.7795, Max=2.3514, RMS=0.9829
  Col 23: Mean=-0.2360, Std=2.5119, Min=-9.0597, Max=6.7458, RMS=2.5230
  Col 24: Mean=-0.0050, Std=0.9841, Min=-2.3551, Max=2.4026, RMS=0.9841
  Col 25: Mean=-0.0009, Std=1.2476, Min=-2.9714, Max=3.8029, RMS=1.2476
  Col 26: Mean=0.0080, Std=2.1714, Min=-4.3435, Max=6.0338, RMS=2.1714
  Col 27: Mean=-0.0015, Std=0.6857, Min=-1.9358, Max=1.8816, RMS=0.6857
  Col 28: Mean=-0.0174, Std=1.1943, Min=-2.8346, Max=2.9863, RMS=1.1944
  Col 29: Mean=0.0074, Std=2.2585, Min=-4.2163, Max=6.5798, RMS=2.2585
  Col 30: Mean=-0.0041, Std=0.7363, Min=-2.0335, Max=2.1904, RMS=0.7364
  Col 31: Mean=-0.0211, Std=1.4125, Min=-3.1743, Max=3.7195, RMS=1.4127
  Col 32: Mean=0.0040, Std=2.2438, Min=-4.2357, Max=5.8736, RMS=2.2438
  Col 33: Mean=0.0040, Std=1.0877, Min=-2.8856, Max=3.1435, RMS=1.0877
  Col 34: Mean=-0.0084, Std=1.1061, Min=-2.8713, Max=2.5241, RMS=1.1061
  Col 35: Mean=0.0161, Std=1.9795, Min=-3.9234, Max=7.9250, RMS=1.9795
  Col 36: Mean=0.0123, Std=0.9282, Min=-2.1921, Max=2.6112, RMS=0.9283
  Col 37: Mean=-0.0014, Std=1.3412, Min=-3.5573, Max=2.6066, RMS=1.3412
  Col 38: Mean=0.0095, Std=1.9902, Min=-3.9495, Max=6.1343, RMS=1.9902
  Col 39: Mean=0.0184, Std=0.6951, Min=-2.2542, Max=2.2907, RMS=0.6953
  Col 40: Mean=-0.0156, Std=2.1555, Min=-5.0102, Max=4.2054, RMS=2.1556
  Col 41: Mean=0.0093, Std=1.9478, Min=-3.3628, Max=6.6091, RMS=1.9478
  Col 42: Mean=0.0334, Std=1.0468, Min=-2.5257, Max=3.6098, RMS=1.0473
  Col 43: Mean=-0.0298, Std=3.1238, Min=-6.9963, Max=6.5425, RMS=3.1240
  Col 44: Mean=0.0028, Std=2.2725, Min=-4.0250, Max=6.0056, RMS=2.2725
  Col 45: Mean=0.0189, Std=2.3627, Min=-7.9760, Max=5.8033, RMS=2.3628
  Col 46: Mean=0.0168, Std=3.6937, Min=-14.4102, Max=15.8890, RMS=3.6938
  Col 47: Mean=0.0121, Std=4.0065, Min=-11.4993, Max=13.3143, RMS=4.0066
  Col 48: Mean=0.0202, Std=3.1876, Min=-9.8804, Max=11.7267, RMS=3.1876
  Col 49: Mean=-0.0423, Std=5.0941, Min=-17.0087, Max=22.9532, RMS=5.0943
  Col 50: Mean=-0.0666, Std=3.7351, Min=-7.3850, Max=22.6012, RMS=3.7357
  Col 51: Mean=-0.0164, Std=3.9653, Min=-13.9346, Max=22.9441, RMS=3.9653
  Col 52: Mean=-0.0506, Std=8.1726, Min=-31.6698, Max=22.4063, RMS=8.1728
  Col 53: Mean=-0.1049, Std=5.3356, Min=-17.5039, Max=18.1950, RMS=5.3367
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0123, Std=1.8495, Min=-4.6659, Max=7.8375, RMS=1.8496
  Col 58: Mean=0.0163, Std=3.6474, Min=-14.4225, Max=12.5554, RMS=3.6475
  Col 59: Mean=0.0189, Std=3.3681, Min=-9.7565, Max=14.7155, RMS=3.3682
  Col 60: Mean=-0.0215, Std=2.7616, Min=-9.9500, Max=13.1965, RMS=2.7617
  Col 61: Mean=-0.0297, Std=3.9592, Min=-14.9054, Max=14.4613, RMS=3.9593
  Col 62: Mean=-0.0471, Std=2.8059, Min=-10.4115, Max=17.1244, RMS=2.8063
  Col 63: Mean=0.0172, Std=3.1028, Min=-15.7783, Max=17.9880, RMS=3.1028
  Col 64: Mean=-0.0675, Std=8.3168, Min=-36.7144, Max=29.9538, RMS=8.3171
  Col 65: Mean=-0.0728, Std=5.6221, Min=-19.8385, Max=24.1477, RMS=5.6225
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-4.9295, Std=11.3738, Min=-25.9615, Max=26.7116, RMS=12.3961
  Col 1: Mean=-80.6893, Std=2.5305, Min=-87.1818, Max=-75.1387, RMS=80.7289
  Col 2: Mean=-89.0044, Std=10.3607, Min=-116.9218, Max=-62.1079, RMS=89.6054
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=5.9683, Std=6.7328, Min=-8.8462, Max=22.7714, RMS=8.9972
  Col 13: Mean=-75.2094, Std=2.7529, Min=-79.8077, Max=-67.7621, RMS=75.2598
  Col 14: Mean=72.6291, Std=7.6981, Min=55.5834, Max=85.9349, RMS=73.0359
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-89.6483, Std=6.7234, Min=-100.0256, Max=-66.9045, RMS=89.9001
  Col 19: Mean=-10.9858, Std=2.3394, Min=-16.2014, Max=-4.8808, RMS=11.2321
  Col 20: Mean=161.5986, Std=3.3740, Min=151.8346, Max=169.9489, RMS=161.6338
  Col 21: Mean=54.0615, Std=21.0700, Min=45.3971, Max=174.1553, RMS=58.0224
  Col 22: Mean=3.1415, Std=1.5422, Min=0.1600, Max=6.6125, RMS=3.4996
  Col 23: Mean=-140.0182, Std=106.5987, Min=-179.9777, Max=179.9658, RMS=175.9784
  Col 24: Mean=37.3304, Std=9.7737, Min=13.7052, Max=54.5100, RMS=38.5887
  Col 25: Mean=-69.5817, Std=2.0031, Min=-74.2664, Max=-65.2460, RMS=69.6105
  Col 26: Mean=-9.9703, Std=11.4622, Min=-27.7653, Max=16.5932, RMS=15.1918
  Col 27: Mean=-45.0258, Std=12.7318, Min=-69.7393, Max=-10.1289, RMS=46.7913
  Col 28: Mean=-73.8379, Std=4.9963, Min=-82.8319, Max=-63.4103, RMS=74.0068
  Col 29: Mean=77.0789, Std=15.2625, Min=40.8271, Max=108.3309, RMS=78.5754
  Col 30: Mean=-68.1364, Std=4.8042, Min=-77.3047, Max=-58.1042, RMS=68.3055
  Col 31: Mean=14.2816, Std=4.8797, Min=4.3193, Max=23.9426, RMS=15.0922
  Col 32: Mean=133.0754, Std=5.3258, Min=123.0942, Max=145.1032, RMS=133.1819
  Col 33: Mean=52.8526, Std=3.1177, Min=48.2787, Max=61.5124, RMS=52.9445
  Col 34: Mean=-4.8620, Std=1.3805, Min=-7.9051, Max=-1.9694, RMS=5.0542
  Col 35: Mean=159.9074, Std=3.2793, Min=152.8475, Max=166.2721, RMS=159.9411
  Col 36: Mean=-13.2701, Std=7.8004, Min=-26.5867, Max=4.0924, RMS=15.3929
  Col 37: Mean=-65.5936, Std=1.9485, Min=-68.7885, Max=-60.7589, RMS=65.6226
  Col 38: Mean=90.0608, Std=140.6809, Min=-179.9161, Max=179.9959, RMS=167.0391
  Col 39: Mean=39.9805, Std=17.2322, Min=-17.8860, Max=59.8280, RMS=43.5361
  Col 40: Mean=-64.1082, Std=9.9676, Min=-78.6643, Max=-41.2906, RMS=64.8785
  Col 41: Mean=102.7468, Std=21.6021, Min=72.7346, Max=165.7485, RMS=104.9932
  Col 42: Mean=75.9986, Std=10.4148, Min=53.4408, Max=93.0293, RMS=76.7089
  Col 43: Mean=5.7648, Std=11.1934, Min=-15.4014, Max=27.8912, RMS=12.5907
  Col 44: Mean=38.9242, Std=6.1500, Min=20.6966, Max=53.0416, RMS=39.4071
  Col 45: Mean=-102.2525, Std=54.2490, Min=-173.9356, Max=-16.3944, RMS=115.7521
  Col 46: Mean=-74.3097, Std=5.2006, Min=-85.1686, Max=-61.4412, RMS=74.4914
  Col 47: Mean=-11.5908, Std=137.2310, Min=-179.5012, Max=179.6687, RMS=137.7197
  Col 48: Mean=-32.7332, Std=145.8456, Min=-179.9286, Max=179.8805, RMS=149.4737
  Col 49: Mean=-72.1529, Std=13.7556, Min=-88.4503, Max=-37.1232, RMS=73.4524
  Col 50: Mean=-66.9451, Std=86.9713, Min=-178.2259, Max=179.1506, RMS=109.7527
  Col 51: Mean=-5.8473, Std=42.3006, Min=-179.8937, Max=175.4648, RMS=42.7028
