--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0023, Std=1.7413, Min=-5.5336, Max=3.8803, RMS=1.7413
  Col 1: Mean=0.0034, Std=1.2343, Min=-3.9516, Max=5.4948, RMS=1.2343
  Col 2: Mean=0.0018, Std=2.2398, Min=-3.8384, Max=8.9432, RMS=2.2398
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0206, Std=0.7205, Min=-1.9878, Max=2.1627, RMS=0.7208
  Col 13: Mean=-0.0008, Std=0.7043, Min=-2.2089, Max=2.3742, RMS=0.7043
  Col 14: Mean=-0.4227, Std=2.8966, Min=-8.9371, Max=7.2120, RMS=2.9272
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0023, Std=0.4446, Min=-1.6910, Max=1.5349, RMS=0.4446
  Col 19: Mean=0.0023, Std=0.5410, Min=-1.4158, Max=1.2409, RMS=0.5410
  Col 20: Mean=0.0008, Std=2.0288, Min=-2.9785, Max=7.2300, RMS=2.0288
  Col 21: Mean=-0.0076, Std=0.7522, Min=-2.6635, Max=2.2047, RMS=0.7522
  Col 22: Mean=0.0003, Std=0.7566, Min=-1.9047, Max=1.9369, RMS=0.7566
  Col 23: Mean=0.0010, Std=2.0435, Min=-3.3313, Max=7.7769, RMS=2.0435
  Col 24: Mean=-0.0023, Std=1.5013, Min=-5.6426, Max=3.4402, RMS=1.5013
  Col 25: Mean=-0.0048, Std=0.8241, Min=-2.5643, Max=2.5565, RMS=0.8241
  Col 26: Mean=-0.0075, Std=2.0898, Min=-3.4051, Max=6.9484, RMS=2.0899
  Col 27: Mean=0.0069, Std=2.3768, Min=-5.4830, Max=5.1774, RMS=2.3768
  Col 28: Mean=0.0067, Std=0.8946, Min=-2.5079, Max=3.0621, RMS=0.8947
  Col 29: Mean=-0.0023, Std=1.9794, Min=-3.2504, Max=7.8966, RMS=1.9794
  Col 30: Mean=0.0231, Std=3.1633, Min=-8.4215, Max=6.9168, RMS=3.1634
  Col 31: Mean=0.0025, Std=1.0815, Min=-2.6266, Max=3.5287, RMS=1.0815
  Col 32: Mean=-0.0077, Std=2.1097, Min=-3.7181, Max=6.9030, RMS=2.1097
  Col 33: Mean=-0.0079, Std=0.7799, Min=-2.0674, Max=2.7085, RMS=0.7799
  Col 34: Mean=0.0013, Std=0.8033, Min=-2.6108, Max=2.1130, RMS=0.8033
  Col 35: Mean=0.0009, Std=2.0459, Min=-3.3273, Max=8.2698, RMS=2.0459
  Col 36: Mean=-0.0074, Std=1.4909, Min=-5.1788, Max=3.2485, RMS=1.4909
  Col 37: Mean=0.0089, Std=0.8340, Min=-1.8203, Max=2.6567, RMS=0.8340
  Col 38: Mean=-0.0034, Std=2.0481, Min=-3.3913, Max=6.9646, RMS=2.0481
  Col 39: Mean=0.0131, Std=2.2587, Min=-5.5120, Max=4.4783, RMS=2.2588
  Col 40: Mean=0.0052, Std=0.7305, Min=-1.8213, Max=2.2502, RMS=0.7305
  Col 41: Mean=-0.0030, Std=2.0060, Min=-3.4561, Max=7.1739, RMS=2.0060
  Col 42: Mean=0.0251, Std=3.1400, Min=-7.9171, Max=6.9327, RMS=3.1401
  Col 43: Mean=0.0021, Std=0.9646, Min=-2.3569, Max=2.8430, RMS=0.9646
  Col 44: Mean=-0.0149, Std=2.1072, Min=-4.5378, Max=6.8935, RMS=2.1073
  Col 45: Mean=-0.0246, Std=5.2640, Min=-26.7445, Max=22.3658, RMS=5.2641
  Col 46: Mean=0.0257, Std=2.5715, Min=-7.3516, Max=13.5612, RMS=2.5716
  Col 47: Mean=-0.5570, Std=5.6588, Min=-20.4460, Max=29.5727, RMS=5.6861
  Col 48: Mean=0.0390, Std=5.4434, Min=-14.0136, Max=17.4765, RMS=5.4436
