--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/walk/Run_5
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0394, Std=1.4641, Min=-3.9305, Max=3.6844, RMS=1.4647
  Col 1: Mean=-0.0151, Std=0.8706, Min=-2.9323, Max=2.5807, RMS=0.8708
  Col 2: Mean=-0.4624, Std=2.6380, Min=-8.9917, Max=6.4187, RMS=2.6782
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0064, Std=0.9360, Min=-1.9354, Max=2.3594, RMS=0.9360
  Col 13: Mean=-0.0005, Std=0.6123, Min=-1.5910, Max=2.0826, RMS=0.6123
  Col 14: Mean=0.0012, Std=1.8605, Min=-3.0263, Max=5.6029, RMS=1.8605
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0039, Std=0.4814, Min=-1.3039, Max=1.6839, RMS=0.4815
  Col 19: Mean=-0.0001, Std=0.4346, Min=-0.9271, Max=0.8718, RMS=0.4346
  Col 20: Mean=0.0015, Std=1.7432, Min=-2.7766, Max=6.8085, RMS=1.7432
  Col 21: Mean=0.0047, Std=0.8404, Min=-1.8929, Max=2.5651, RMS=0.8404
  Col 22: Mean=-0.0001, Std=0.7313, Min=-2.6588, Max=2.3603, RMS=0.7313
  Col 23: Mean=0.0009, Std=1.7384, Min=-2.6537, Max=6.3267, RMS=1.7384
  Col 24: Mean=0.0012, Std=1.4498, Min=-3.5860, Max=5.7092, RMS=1.4498
  Col 25: Mean=0.0040, Std=0.8844, Min=-2.1065, Max=2.7474, RMS=0.8844
  Col 26: Mean=-0.0043, Std=1.7104, Min=-2.9773, Max=5.7417, RMS=1.7104
  Col 27: Mean=-0.0042, Std=2.3225, Min=-5.2497, Max=6.0791, RMS=2.3225
  Col 28: Mean=0.0038, Std=0.9717, Min=-2.8552, Max=2.0283, RMS=0.9717
  Col 29: Mean=-0.0028, Std=1.6402, Min=-3.3053, Max=5.2964, RMS=1.6402
  Col 30: Mean=-0.0090, Std=2.8831, Min=-7.2262, Max=7.1876, RMS=2.8831
  Col 31: Mean=0.0086, Std=1.3654, Min=-4.1704, Max=3.6532, RMS=1.3655
  Col 32: Mean=-0.0074, Std=1.5199, Min=-3.5693, Max=4.6000, RMS=1.5199
  Col 33: Mean=0.0034, Std=0.8892, Min=-2.2016, Max=2.8150, RMS=0.8892
  Col 34: Mean=-0.0009, Std=0.7228, Min=-3.5530, Max=2.2798, RMS=0.7228
  Col 35: Mean=0.0017, Std=1.7080, Min=-2.5936, Max=6.1434, RMS=1.7080
  Col 36: Mean=-0.0000, Std=1.5655, Min=-4.4700, Max=5.3913, RMS=1.5655
  Col 37: Mean=-0.0058, Std=0.7143, Min=-2.5363, Max=2.3938, RMS=0.7143
  Col 38: Mean=-0.0050, Std=1.7073, Min=-2.6759, Max=6.0429, RMS=1.7073
  Col 39: Mean=-0.0068, Std=2.5311, Min=-5.3486, Max=5.9735, RMS=2.5311
  Col 40: Mean=0.0053, Std=0.7439, Min=-3.8167, Max=2.2352, RMS=0.7439
  Col 41: Mean=-0.0039, Std=1.7317, Min=-3.2015, Max=6.8061, RMS=1.7318
  Col 42: Mean=-0.0156, Std=3.2650, Min=-8.3263, Max=8.0340, RMS=3.2650
  Col 43: Mean=0.0020, Std=0.9313, Min=-3.7489, Max=2.5496, RMS=0.9313
  Col 44: Mean=-0.0128, Std=1.7872, Min=-4.1228, Max=6.0849, RMS=1.7872
  Col 45: Mean=-0.0115, Std=3.7455, Min=-10.2604, Max=10.7918, RMS=3.7455
  Col 46: Mean=-0.0162, Std=2.8673, Min=-15.1897, Max=11.0096, RMS=2.8674
  Col 47: Mean=0.0010, Std=3.4497, Min=-15.0882, Max=13.3298, RMS=3.4497
  Col 48: Mean=-0.0466, Std=5.1400, Min=-16.8941, Max=8.8022, RMS=5.1403
  Col 49: Mean=0.0202, Std=2.3669, Min=-9.6282, Max=9.2600, RMS=2.3670
  Col 50: Mean=-0.1230, Std=2.2716, Min=-5.5681, Max=11.7595, RMS=2.2749
  Col 51: Mean=-0.0623, Std=9.7574, Min=-40.5495, Max=26.6744, RMS=9.7576
  Col 52: Mean=0.0476, Std=2.3835, Min=-9.5057, Max=11.5167, RMS=2.3840
  Col 53: Mean=-0.2064, Std=6.5356, Min=-23.4986, Max=21.1835, RMS=6.5389
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0015, Std=3.4331, Min=-10.5922, Max=8.6346, RMS=3.4331
  Col 58: Mean=0.0083, Std=2.2376, Min=-9.1001, Max=8.0573, RMS=2.2377
  Col 59: Mean=-0.0047, Std=3.2474, Min=-13.0577, Max=11.1674, RMS=3.2474
  Col 60: Mean=-0.0389, Std=5.0786, Min=-17.5338, Max=9.1718, RMS=5.0788
  Col 61: Mean=-0.0017, Std=2.8437, Min=-11.7010, Max=10.6187, RMS=2.8437
  Col 62: Mean=-0.1282, Std=2.2187, Min=-5.8135, Max=16.0178, RMS=2.2224
  Col 63: Mean=-0.0794, Std=9.8987, Min=-36.6411, Max=29.5969, RMS=9.8990
  Col 64: Mean=-0.0547, Std=2.4967, Min=-17.5001, Max=13.3967, RMS=2.4973
  Col 65: Mean=-0.1689, Std=6.6360, Min=-24.0888, Max=18.2027, RMS=6.6382
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-47.0212, Std=33.6694, Min=-179.8038, Max=-13.4081, RMS=57.8327
  Col 1: Mean=-76.3775, Std=16.9298, Min=-85.6495, Max=-6.1178, RMS=78.2313
  Col 2: Mean=-144.3527, Std=15.6066, Min=-179.8457, Max=-99.5901, RMS=145.1939
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
