--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0175, Std=1.5853, Min=-5.6707, Max=6.2019, RMS=1.5854
  Col 1: Mean=0.0029, Std=1.9888, Min=-11.1684, Max=7.8699, RMS=1.9888
  Col 2: Mean=-0.0085, Std=4.0692, Min=-6.5994, Max=21.7342, RMS=4.0692
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0090, Std=0.8735, Min=-1.8247, Max=3.2723, RMS=0.8735
  Col 13: Mean=-0.0085, Std=0.9685, Min=-3.6698, Max=2.7284, RMS=0.9685
  Col 14: Mean=0.0023, Std=3.6630, Min=-5.6103, Max=17.6933, RMS=3.6630
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0056, Std=0.8532, Min=-3.1696, Max=2.0624, RMS=0.8532
  Col 19: Mean=-0.0113, Std=0.8013, Min=-2.0147, Max=2.1869, RMS=0.8013
  Col 20: Mean=-0.0021, Std=3.3936, Min=-4.7487, Max=15.4656, RMS=3.3936
  Col 21: Mean=-0.0127, Std=0.9440, Min=-2.1330, Max=3.0957, RMS=0.9441
  Col 22: Mean=-0.0085, Std=1.1084, Min=-4.9634, Max=4.3588, RMS=1.1084
  Col 23: Mean=0.0038, Std=4.0846, Min=-5.0590, Max=20.8386, RMS=4.0846
  Col 24: Mean=-0.0020, Std=1.7051, Min=-3.9741, Max=5.8228, RMS=1.7051
  Col 25: Mean=0.0156, Std=1.6031, Min=-6.3464, Max=6.2003, RMS=1.6032
  Col 26: Mean=-0.0049, Std=3.9741, Min=-6.1658, Max=15.3441, RMS=3.9741
  Col 27: Mean=-0.0070, Std=1.7390, Min=-4.3410, Max=5.5669, RMS=1.7391
  Col 28: Mean=-0.0104, Std=1.0999, Min=-3.3440, Max=4.5178, RMS=1.0999
  Col 29: Mean=-0.0053, Std=4.0423, Min=-6.4009, Max=16.0314, RMS=4.0423
  Col 30: Mean=-0.0301, Std=2.4427, Min=-7.6872, Max=8.1820, RMS=2.4429
  Col 31: Mean=-0.0257, Std=2.2969, Min=-7.9494, Max=11.0251, RMS=2.2970
  Col 32: Mean=-0.0118, Std=3.9437, Min=-7.8783, Max=14.9285, RMS=3.9438
  Col 33: Mean=-0.0149, Std=0.9250, Min=-2.3685, Max=3.5068, RMS=0.9251
  Col 34: Mean=-0.0169, Std=1.2005, Min=-4.7649, Max=4.4669, RMS=1.2006
  Col 35: Mean=0.0013, Std=4.2494, Min=-5.3544, Max=21.8196, RMS=4.2494
  Col 36: Mean=0.0044, Std=1.6549, Min=-3.1340, Max=9.0176, RMS=1.6549
  Col 37: Mean=-0.0352, Std=1.9105, Min=-10.1935, Max=5.0755, RMS=1.9109
  Col 38: Mean=-0.0081, Std=4.3917, Min=-6.1948, Max=18.8495, RMS=4.3917
  Col 39: Mean=-0.0230, Std=1.6092, Min=-4.8228, Max=5.8658, RMS=1.6093
  Col 40: Mean=0.0195, Std=1.5618, Min=-7.3985, Max=5.2187, RMS=1.5619
  Col 41: Mean=-0.0066, Std=4.2461, Min=-6.9427, Max=19.6404, RMS=4.2461
  Col 42: Mean=-0.0420, Std=2.8461, Min=-11.0954, Max=10.1257, RMS=2.8464
  Col 43: Mean=0.0447, Std=2.3059, Min=-8.0827, Max=9.1586, RMS=2.3063
  Col 44: Mean=-0.0318, Std=4.4736, Min=-7.6203, Max=18.1788, RMS=4.4737
  Col 45: Mean=0.0195, Std=3.8568, Min=-17.5270, Max=13.4028, RMS=3.8568
  Col 46: Mean=0.0005, Std=3.9084, Min=-16.6504, Max=12.8584, RMS=3.9084
